Frequency,Magnitue,Phase
1.02920052719442e+00,-2.76413587672777e+01,8.30260782952789e+01
1.02943753665926e+00,-2.76393750492567e+01,8.30248336801932e+01
1.02967460070382e+00,-2.76373913378466e+01,8.30235887084643e+01
1.02991171934069e+00,-2.76354076330501e+01,8.30223433800339e+01
1.03014889258242e+00,-2.76334239348698e+01,8.30210976948434e+01
1.03038612044160e+00,-2.76314402433087e+01,8.30198516528344e+01
1.03062340293081e+00,-2.76294565583694e+01,8.30186052539483e+01
1.03086074006261e+00,-2.76274728800547e+01,8.30173584981265e+01
1.03109813184961e+00,-2.76254892083672e+01,8.30161113853106e+01
1.03133557830437e+00,-2.76235055433098e+01,8.30148639154419e+01
1.03157307943950e+00,-2.76215218848852e+01,8.30136160884619e+01
1.03181063526758e+00,-2.76195382330962e+01,8.30123679043120e+01
1.03204824580121e+00,-2.76175545879455e+01,8.30111193629335e+01
1.03228591105299e+00,-2.76155709494358e+01,8.30098704642679e+01
1.03252363103551e+00,-2.76135873175699e+01,8.30086212082566e+01
1.03276140576139e+00,-2.76116036923506e+01,8.30073715948407e+01
1.03299923524322e+00,-2.76096200737806e+01,8.30061216239618e+01
1.03323711949362e+00,-2.76076364618626e+01,8.30048712955610e+01
1.03347505852520e+00,-2.76056528565995e+01,8.30036206095797e+01
1.03371305235057e+00,-2.76036692579939e+01,8.30023695659592e+01
1.03395110098236e+00,-2.76016856660486e+01,8.30011181646408e+01
1.03418920443318e+00,-2.75997020807664e+01,8.29998664055656e+01
1.03442736271566e+00,-2.75977185021501e+01,8.29986142886750e+01
1.03466557584242e+00,-2.75957349302024e+01,8.29973618139101e+01
1.03490384382610e+00,-2.75937513649260e+01,8.29961089812122e+01
1.03514216667933e+00,-2.75917678063238e+01,8.29948557905224e+01
1.03538054441474e+00,-2.75897842543984e+01,8.29936022417819e+01
1.03561897704497e+00,-2.75878007091526e+01,8.29923483349320e+01
1.03585746458267e+00,-2.75858171705893e+01,8.29910940699136e+01
1.03609600704047e+00,-2.75838336387112e+01,8.29898394466681e+01
1.03633460443103e+00,-2.75818501135209e+01,8.29885844651364e+01
1.03657325676699e+00,-2.75798665950214e+01,8.29873291252597e+01
1.03681196406101e+00,-2.75778830832154e+01,8.29860734269791e+01
1.03705072632575e+00,-2.75758995781056e+01,8.29848173702355e+01
1.03728954357386e+00,-2.75739160796947e+01,8.29835609549702e+01
1.03752841581800e+00,-2.75719325879857e+01,8.29823041811241e+01
1.03776734307084e+00,-2.75699491029812e+01,8.29810470486383e+01
1.03800632534505e+00,-2.75679656246840e+01,8.29797895574537e+01
1.03824536265330e+00,-2.75659821530969e+01,8.29785317075114e+01
1.03848445500826e+00,-2.75639986882227e+01,8.29772734987523e+01
1.03872360242261e+00,-2.75620152300641e+01,8.29760149311174e+01
1.03896280490902e+00,-2.75600317786239e+01,8.29747560045477e+01
1.03920206248019e+00,-2.75580483339049e+01,8.29734967189840e+01
1.03944137514879e+00,-2.75560648959099e+01,8.29722370743673e+01
1.03968074292751e+00,-2.75540814646416e+01,8.29709770706385e+01
1.03992016582904e+00,-2.75520980401028e+01,8.29697167077385e+01
1.04015964386609e+00,-2.75501146222963e+01,8.29684559856081e+01
1.04039917705134e+00,-2.75481312112249e+01,8.29671949041883e+01
1.04063876539749e+00,-2.75461478068913e+01,8.29659334634198e+01
1.04087840891725e+00,-2.75441644092984e+01,8.29646716632435e+01
1.04111810762332e+00,-2.75421810184489e+01,8.29634095036001e+01
1.04135786152842e+00,-2.75401976343456e+01,8.29621469844306e+01
1.04159767064525e+00,-2.75382142569913e+01,8.29608841056756e+01
1.04183753498652e+00,-2.75362308863887e+01,8.29596208672759e+01
1.04207745456496e+00,-2.75342475225408e+01,8.29583572691723e+01
1.04231742939329e+00,-2.75322641654501e+01,8.29570933113055e+01
1.04255745948422e+00,-2.75302808151197e+01,8.29558289936163e+01
1.04279754485049e+00,-2.75282974715521e+01,8.29545643160452e+01
1.04303768550482e+00,-2.75263141347502e+01,8.29532992785331e+01
1.04327788145995e+00,-2.75243308047169e+01,8.29520338810206e+01
1.04351813272861e+00,-2.75223474814548e+01,8.29507681234483e+01
1.04375843932353e+00,-2.75203641649669e+01,8.29495020057570e+01
1.04399880125747e+00,-2.75183808552558e+01,8.29482355278871e+01
1.04423921854316e+00,-2.75163975523244e+01,8.29469686897794e+01
1.04447969119335e+00,-2.75144142561755e+01,8.29457014913744e+01
1.04472021922078e+00,-2.75124309668118e+01,8.29444339326127e+01
1.04496080263822e+00,-2.75104476842362e+01,8.29431660134349e+01
1.04520144145842e+00,-2.75084644084515e+01,8.29418977337815e+01
1.04544213569413e+00,-2.75064811394604e+01,8.29406290935930e+01
1.04568288535812e+00,-2.75044978772658e+01,8.29393600928101e+01
1.04592369046315e+00,-2.75025146218704e+01,8.29380907313731e+01
1.04616455102199e+00,-2.75005313732771e+01,8.29368210092227e+01
1.04640546704741e+00,-2.74985481314887e+01,8.29355509262991e+01
1.04664643855218e+00,-2.74965648965080e+01,8.29342804825430e+01
1.04688746554908e+00,-2.74945816683377e+01,8.29330096778947e+01
1.04712854805088e+00,-2.74925984469807e+01,8.29317385122947e+01
1.04736968607038e+00,-2.74906152324397e+01,8.29304669856833e+01
1.04761087962034e+00,-2.74886320247177e+01,8.29291950980011e+01
1.04785212871357e+00,-2.74866488238174e+01,8.29279228491883e+01
1.04809343336286e+00,-2.74846656297415e+01,8.29266502391854e+01
1.04833479358098e+00,-2.74826824424930e+01,8.29253772679327e+01
1.04857620938076e+00,-2.74806992620746e+01,8.29241039353705e+01
1.04881768077497e+00,-2.74787160884891e+01,8.29228302414391e+01
1.04905920777643e+00,-2.74767329217394e+01,8.29215561860789e+01
1.04930079039794e+00,-2.74747497618283e+01,8.29202817692301e+01
1.04954242865230e+00,-2.74727666087585e+01,8.29190069908331e+01
1.04978412255234e+00,-2.74707834625329e+01,8.29177318508280e+01
1.05002587211087e+00,-2.74688003231544e+01,8.29164563491552e+01
1.05026767734069e+00,-2.74668171906256e+01,8.29151804857547e+01
1.05050953825464e+00,-2.74648340649495e+01,8.29139042605670e+01
