Frequency,Magnitude,Phase
1.44877185354475e+00,-2.38991187948549e+01,8.56151548147952e+01
1.45211161758773e+00,-2.38791919053344e+01,8.56062777241372e+01
1.45545908058195e+00,-2.38592653482709e+01,8.55973775064566e+01
1.45881426027534e+00,-2.38393391252076e+01,8.55884541157212e+01
1.46217717445671e+00,-2.38194132376926e+01,8.55795075057871e+01
1.46554784095590e+00,-2.37994876872825e+01,8.55705376303953e+01
1.46892627764385e+00,-2.37795624755399e+01,8.55615444431739e+01
1.47231250243271e+00,-2.37596376040347e+01,8.55525278976315e+01
1.47570653327588e+00,-2.37397130743446e+01,8.55434879471627e+01
1.47910838816819e+00,-2.37197888880529e+01,8.55344245450457e+01
1.48251808514594e+00,-2.36998650467513e+01,8.55253376444455e+01
1.48593564228699e+00,-2.36799415520384e+01,8.55162271984058e+01
1.48936107771090e+00,-2.36600184055199e+01,8.55070931598574e+01
1.49279440957898e+00,-2.36400956088083e+01,8.54979354816155e+01
1.49623565609442e+00,-2.36201731635240e+01,8.54887541163759e+01
1.49968483550236e+00,-2.36002510712945e+01,8.54795490167177e+01
1.50314196609001e+00,-2.35803293337542e+01,8.54703201351042e+01
1.50660706618673e+00,-2.35604079525458e+01,8.54610674238819e+01
1.51008015416413e+00,-2.35404869293186e+01,8.54517908352747e+01
1.51356124843619e+00,-2.35205662657294e+01,8.54424903213972e+01
1.51705036745932e+00,-2.35006459634426e+01,8.54331658342392e+01
1.52054752973248e+00,-2.34807260241305e+01,8.54238173256738e+01
1.52405275379728e+00,-2.34608064494718e+01,8.54144447474569e+01
1.52756605823806e+00,-2.34408872411544e+01,8.54050480512267e+01
1.53108746168202e+00,-2.34209684008721e+01,8.53956271885013e+01
1.53461698279928e+00,-2.34010499303281e+01,8.53861821106789e+01
1.53815464030302e+00,-2.33811318312311e+01,8.53767127690406e+01
1.54170045294954e+00,-2.33612141053000e+01,8.53672191147459e+01
1.54525443953840e+00,-2.33412967542588e+01,8.53577010988397e+01
1.54881661891247e+00,-2.33213797798419e+01,8.53481586722398e+01
