Frequency,Magnitude,Phase
1.05414414278537e+00,-3.79023222215342e+01,8.83606322467600e+01
1.05438689639124e+00,-3.79003226795026e+01,8.83606217913475e+01
1.05462970589963e+00,-3.78983231372455e+01,8.83606112490374e+01
1.05487257132342e+00,-3.78963235947632e+01,8.83606006198289e+01
1.05511549267547e+00,-3.78943240520554e+01,8.83605899037221e+01
1.05535846996868e+00,-3.78923245091225e+01,8.83605791007153e+01
1.05560150321591e+00,-3.78903249659646e+01,8.83605682108085e+01
1.05584459243006e+00,-3.78883254225816e+01,8.83605572340012e+01
1.05608773762402e+00,-3.78863258789738e+01,8.83605461702923e+01
1.05633093881067e+00,-3.78843263351412e+01,8.83605350196817e+01
1.05657419600291e+00,-3.78823267910839e+01,8.83605237821685e+01
1.05681750921364e+00,-3.78803272468019e+01,8.83605124577521e+01
1.05706087845575e+00,-3.78783277022956e+01,8.83605010464316e+01
1.05730430374216e+00,-3.78763281575647e+01,8.83604895482070e+01
1.05754778508577e+00,-3.78743286126096e+01,8.83604779630773e+01
1.05779132249948e+00,-3.78723290674303e+01,8.83604662910415e+01
1.05803491599621e+00,-3.78703295220268e+01,8.83604545320998e+01
1.05827856558887e+00,-3.78683299763994e+01,8.83604426862507e+01
1.05852227129039e+00,-3.78663304305480e+01,8.83604307534941e+01
1.05876603311368e+00,-3.78643308844728e+01,8.83604187338289e+01
1.05900985107166e+00,-3.78623313381738e+01,8.83604066272548e+01
1.05925372517727e+00,-3.78603317916513e+01,8.83603944337708e+01
1.05949765544343e+00,-3.78583322449051e+01,8.83603821533765e+01
1.05974164188308e+00,-3.78563326979356e+01,8.83603697860713e+01
1.05998568450915e+00,-3.78543331507428e+01,8.83603573318538e+01
1.06022978333458e+00,-3.78523336033265e+01,8.83603447907247e+01
1.06047393837231e+00,-3.78503340556873e+01,8.83603321626818e+01
1.06071814963529e+00,-3.78483345078249e+01,8.83603194477252e+01
1.06096241713647e+00,-3.78463349597396e+01,8.83603066458539e+01
1.06120674088880e+00,-3.78443354114314e+01,8.83602937570675e+01
1.06145112090522e+00,-3.78423358629004e+01,8.83602807813652e+01
1.06169555719870e+00,-3.78403363141468e+01,8.83602677187458e+01
1.06194004978220e+00,-3.78383367651706e+01,8.83602545692090e+01
1.06218459866868e+00,-3.78363372159720e+01,8.83602413327543e+01
1.06242920387110e+00,-3.78343376665509e+01,8.83602280093806e+01
1.06267386540244e+00,-3.78323381169076e+01,8.83602145990870e+01
1.06291858327567e+00,-3.78303385670419e+01,8.83602011018736e+01
1.06316335750375e+00,-3.78283390169543e+01,8.83601875177384e+01
1.06340818809967e+00,-3.78263394666447e+01,8.83601738466818e+01
1.06365307507642e+00,-3.78243399161131e+01,8.83601600887019e+01
1.06389801844696e+00,-3.78223403653597e+01,8.83601462437994e+01
1.06414301822429e+00,-3.78203408143846e+01,8.83601323119723e+01
1.06438807442141e+00,-3.78183412631879e+01,8.83601182932204e+01
1.06463318705129e+00,-3.78163417117696e+01,8.83601041875424e+01
1.06487835612694e+00,-3.78143421601299e+01,8.83600899949383e+01
1.06512358166136e+00,-3.78123426082688e+01,8.83600757154068e+01
1.06536886366754e+00,-3.78103430561865e+01,8.83600613489474e+01
1.06561420215850e+00,-3.78083435038831e+01,8.83600468955588e+01
1.06585959714723e+00,-3.78063439513586e+01,8.83600323552404e+01
1.06610504864676e+00,-3.78043443986132e+01,8.83600177279920e+01
1.06635055667008e+00,-3.78023448456469e+01,8.83600030138120e+01
1.06659612123023e+00,-3.78003452924598e+01,8.83599882127000e+01
1.06684174234022e+00,-3.77983457390520e+01,8.83599733246550e+01
1.06708742001307e+00,-3.77963461854237e+01,8.83599583496764e+01
1.06733315426181e+00,-3.77943466315749e+01,8.83599432877633e+01
1.06757894509947e+00,-3.77923470775057e+01,8.83599281389144e+01
1.06782479253907e+00,-3.77903475232162e+01,8.83599129031296e+01
1.06807069659366e+00,-3.77883479687065e+01,8.83598975804078e+01
1.06831665727627e+00,-3.77863484139767e+01,8.83598821707479e+01
1.06856267459994e+00,-3.77843488590268e+01,8.83598666741497e+01
1.06880874857771e+00,-3.77823493038570e+01,8.83598510906111e+01
1.06905487922263e+00,-3.77803497484675e+01,8.83598354201322e+01
1.06930106654776e+00,-3.77783501928581e+01,8.83598196627124e+01
1.06954731056614e+00,-3.77763506370292e+01,8.83598038183503e+01
1.06979361129082e+00,-3.77743510809806e+01,8.83597878870448e+01
1.07003996873488e+00,-3.77723515247128e+01,8.83597718687956e+01
1.07028638291136e+00,-3.77703519682255e+01,8.83597557636014e+01
1.07053285383334e+00,-3.77683524115189e+01,8.83597395714616e+01
1.07077938151388e+00,-3.77663528545933e+01,8.83597232923750e+01
1.07102596596605e+00,-3.77643532974485e+01,8.83597069263413e+01
1.07127260720292e+00,-3.77623537400847e+01,8.83596904733589e+01
1.07151930523758e+00,-3.77603541825020e+01,8.83596739334276e+01
1.07176606008310e+00,-3.77583546247006e+01,8.83596573065453e+01
1.07201287175257e+00,-3.77563550666804e+01,8.83596405927128e+01
1.07225974025906e+00,-3.77543555084417e+01,8.83596237919273e+01
1.07250666561568e+00,-3.77523559499844e+01,8.83596069041896e+01
1.07275364783550e+00,-3.77503563913088e+01,8.83595899294973e+01
1.07300068693164e+00,-3.77483568324147e+01,8.83595728678506e+01
1.07324778291717e+00,-3.77463572733025e+01,8.83595557192479e+01
1.07349493580521e+00,-3.77443577139721e+01,8.83595384836887e+01
1.07374214560886e+00,-3.77423581544237e+01,8.83595211611719e+01
1.07398941234122e+00,-3.77403585946573e+01,8.83595037516965e+01
1.07423673601540e+00,-3.77383590346731e+01,8.83594862552614e+01
1.07448411664453e+00,-3.77363594744712e+01,8.83594686718656e+01
1.07473155424171e+00,-3.77343599140515e+01,8.83594510015086e+01
1.07497904882006e+00,-3.77323603534144e+01,8.83594332441888e+01
1.07522660039270e+00,-3.77303607925596e+01,8.83594153999061e+01
1.07547420897276e+00,-3.77283612314875e+01,8.83593974686585e+01
1.07572187457337e+00,-3.77263616701981e+01,8.83593794504455e+01
1.07596959720766e+00,-3.77243621086915e+01,8.83593613452664e+01
1.07621737688876e+00,-3.77223625469678e+01,8.83593431531200e+01
1.07646521362981e+00,-3.77203629850271e+01,8.83593248740050e+01
1.07671310744394e+00,-3.77183634228695e+01,8.83593065079207e+01
1.07696105834431e+00,-3.77163638604950e+01,8.83592880548659e+01
1.07720906634406e+00,-3.77143642979037e+01,8.83592695148400e+01
1.07745713145634e+00,-3.77123647350959e+01,8.83592508878416e+01
1.07770525369429e+00,-3.77103651720714e+01,8.83592321738696e+01
1.07795343307108e+00,-3.77083656088305e+01,8.83592133729233e+01
1.07820166959987e+00,-3.77063660453733e+01,8.83591944850014e+01
1.07844996329380e+00,-3.77043664816998e+01,8.83591755101032e+01
1.07869831416606e+00,-3.77023669178100e+01,8.83591564482273e+01
1.07894672222980e+00,-3.77003673537043e+01,8.83591372993727e+01
1.07919518749820e+00,-3.76983677893824e+01,8.83591180635390e+01
1.07944370998442e+00,-3.76963682248448e+01,8.83590987407238e+01
1.07969228970166e+00,-3.76943686600912e+01,8.83590793309274e+01
1.07994092666308e+00,-3.76923690951219e+01,8.83590598341485e+01
1.08018962088186e+00,-3.76903695299371e+01,8.83590402503850e+01
1.08043837237120e+00,-3.76883699645367e+01,8.83590205796366e+01
1.08068718114428e+00,-3.76863703989208e+01,8.83590008219028e+01
1.08093604721430e+00,-3.76843708330895e+01,8.83589809771816e+01
1.08118497059444e+00,-3.76823712670430e+01,8.83589610454720e+01
1.08143395129791e+00,-3.76803717007814e+01,8.83589410267735e+01
1.08168298933790e+00,-3.76783721343047e+01,8.83589209210845e+01
1.08193208472763e+00,-3.76763725676130e+01,8.83589007284039e+01
1.08218123748029e+00,-3.76743730007064e+01,8.83588804487313e+01
1.08243044760910e+00,-3.76723734335849e+01,8.83588600820645e+01
1.08267971512727e+00,-3.76703738662488e+01,8.83588396284031e+01
1.08292904004801e+00,-3.76683742986981e+01,8.83588190877453e+01
1.08317842238455e+00,-3.76663747309328e+01,8.83587984600911e+01
1.08342786215011e+00,-3.76643751629531e+01,8.83587777454386e+01
1.08367735935791e+00,-3.76623755947590e+01,8.83587569437867e+01
1.08392691402117e+00,-3.76603760263507e+01,8.83587360551344e+01
1.08417652615314e+00,-3.76583764577282e+01,8.83587150794809e+01
1.08442619576704e+00,-3.76563768888917e+01,8.83586940168243e+01
1.08467592287612e+00,-3.76543773198412e+01,8.83586728671640e+01
1.08492570749361e+00,-3.76523777505768e+01,8.83586516304990e+01
1.08517554963275e+00,-3.76503781810985e+01,8.83586303068276e+01
1.08542544930680e+00,-3.76483786114067e+01,8.83586088961489e+01
1.08567540652899e+00,-3.76463790415012e+01,8.83585873984617e+01
1.08592542131259e+00,-3.76443794713821e+01,8.83585658137649e+01
1.08617549367085e+00,-3.76423799010496e+01,8.83585441420571e+01
1.08642562361703e+00,-3.76403803305038e+01,8.83585223833376e+01
1.08667581116439e+00,-3.76383807597448e+01,8.83585005376047e+01
1.08692605632620e+00,-3.76363811887726e+01,8.83584786048574e+01
1.08717635911571e+00,-3.76343816175873e+01,8.83584565850946e+01
1.08742671954621e+00,-3.76323820461891e+01,8.83584344783149e+01
1.08767713763097e+00,-3.76303824745779e+01,8.83584122845175e+01
1.08792761338326e+00,-3.76283829027539e+01,8.83583900037006e+01
1.08817814681636e+00,-3.76263833307173e+01,8.83583676358636e+01
1.08842873794356e+00,-3.76243837584680e+01,8.83583451810046e+01
1.08867938677815e+00,-3.76223841860062e+01,8.83583226391233e+01
1.08893009333340e+00,-3.76203846133320e+01,8.83583000102174e+01
1.08918085762262e+00,-3.76183850404454e+01,8.83582772942866e+01
1.08943167965910e+00,-3.76163854673467e+01,8.83582544913290e+01
1.08968255945614e+00,-3.76143858940357e+01,8.83582316013437e+01
1.08993349702703e+00,-3.76123863205127e+01,8.83582086243294e+01
1.09018449238509e+00,-3.76103867467777e+01,8.83581855602847e+01
1.09043554554363e+00,-3.76083871728308e+01,8.83581624092087e+01
1.09068665651594e+00,-3.76063875986720e+01,8.83581391711001e+01
1.09093782531535e+00,-3.76043880243017e+01,8.83581158459571e+01
1.09118905195517e+00,-3.76023884497196e+01,8.83580924337788e+01
1.09144033644872e+00,-3.76003888749261e+01,8.83580689345642e+01
1.09169167880933e+00,-3.75983892999211e+01,8.83580453483116e+01
1.09194307905032e+00,-3.75963897247047e+01,8.83580216750200e+01
1.09219453718502e+00,-3.75943901492771e+01,8.83579979146878e+01
1.09244605322676e+00,-3.75923905736383e+01,8.83579740673135e+01
1.09269762718888e+00,-3.75903909977885e+01,8.83579501328967e+01
1.09294925908471e+00,-3.75883914217276e+01,8.83579261114353e+01
1.09320094892760e+00,-3.75863918454559e+01,8.83579020029284e+01
1.09345269673089e+00,-3.75843922689734e+01,8.83578778073746e+01
1.09370450250792e+00,-3.75823926922802e+01,8.83578535247724e+01
1.09395636627206e+00,-3.75803931153763e+01,8.83578291551209e+01
1.09420828803665e+00,-3.75783935382618e+01,8.83578046984184e+01
1.09446026781504e+00,-3.75763939609369e+01,8.83577801546638e+01
1.09471230562061e+00,-3.75743943834018e+01,8.83577555238552e+01
1.09496440146671e+00,-3.75723948056563e+01,8.83577308059916e+01
1.09521655536670e+00,-3.75703952277006e+01,8.83577060010725e+01
1.09546876733396e+00,-3.75683956495348e+01,8.83576811090952e+01
1.09572103738186e+00,-3.75663960711590e+01,8.83576561300598e+01
1.09597336552377e+00,-3.75643964925733e+01,8.83576310639632e+01
1.09622575177307e+00,-3.75623969137778e+01,8.83576059108055e+01
1.09647819614315e+00,-3.75603973347726e+01,8.83575806705846e+01
1.09673069864738e+00,-3.75583977555576e+01,8.83575553432995e+01
