Frequency,Magnitude,Phase
1.03657325676699e+00,-8.72127712598160e+00,-1.12181713870108e+02
1.03681196406101e+00,-8.71953094146263e+00,-1.12186036366846e+02
1.03705072632575e+00,-8.71778485863809e+00,-1.12190359689074e+02
1.03728954357386e+00,-8.71603887754292e+00,-1.12194683836814e+02
1.03752841581800e+00,-8.71429299821250e+00,-1.12199008810091e+02
1.03776734307084e+00,-8.71254722068179e+00,-1.12203334608928e+02
1.03800632534505e+00,-8.71080154498617e+00,-1.12207661233347e+02
1.03824536265330e+00,-8.70905597116072e+00,-1.12211988683373e+02
1.03848445500826e+00,-8.70731049924087e+00,-1.12216316959028e+02
1.03872360242261e+00,-8.70556512926132e+00,-1.12220646060334e+02
1.03896280490902e+00,-8.70381986125791e+00,-1.12224975987316e+02
1.03920206248019e+00,-8.70207469526539e+00,-1.12229306739997e+02
1.03944137514879e+00,-8.70032963131903e+00,-1.12233638318398e+02
1.03968074292751e+00,-8.69858466945455e+00,-1.12237970722542e+02
1.03992016582904e+00,-8.69683980970670e+00,-1.12242303952454e+02
1.04015964386609e+00,-8.69509505211083e+00,-1.12246638008155e+02
1.04039917705134e+00,-8.69335039670237e+00,-1.12250972889667e+02
1.04063876539749e+00,-8.69160584351643e+00,-1.12255308597014e+02
1.04087840891725e+00,-8.68986139258825e+00,-1.12259645130217e+02
1.04111810762332e+00,-8.68811704395326e+00,-1.12263982489300e+02
1.04135786152842e+00,-8.68637279764666e+00,-1.12268320674284e+02
1.04159767064525e+00,-8.68462865370389e+00,-1.12272659685192e+02
1.04183753498652e+00,-8.68288461215990e+00,-1.12276999522046e+02
1.04207745456496e+00,-8.68114067305021e+00,-1.12281340184869e+02
1.04231742939329e+00,-8.67939683641046e+00,-1.12285681673681e+02
1.04255745948422e+00,-8.67765310227545e+00,-1.12290023988506e+02
1.04279754485049e+00,-8.67590947068080e+00,-1.12294367129366e+02
1.04303768550482e+00,-8.67416594166178e+00,-1.12298711096282e+02
1.04327788145995e+00,-8.67242251525392e+00,-1.12303055889275e+02
1.04351813272861e+00,-8.67067919149206e+00,-1.12307401508369e+02
1.04375843932353e+00,-8.66893597041213e+00,-1.12311747953584e+02
1.04399880125747e+00,-8.66719285204910e+00,-1.12316095224943e+02
1.04423921854316e+00,-8.66544983643873e+00,-1.12320443322467e+02
1.04447969119335e+00,-8.66370692361606e+00,-1.12324792246177e+02
1.04472021922078e+00,-8.66196411361667e+00,-1.12329141996094e+02
1.04496080263822e+00,-8.66022140647579e+00,-1.12333492572241e+02
1.04520144145842e+00,-8.65847880222899e+00,-1.12337843974638e+02
1.04544213569413e+00,-8.65673630091155e+00,-1.12342196203308e+02
1.04568288535812e+00,-8.65499390255903e+00,-1.12346549258271e+02
1.04592369046315e+00,-8.65325160720673e+00,-1.12350903139547e+02
1.04616455102199e+00,-8.65150941489021e+00,-1.12355257847159e+02
1.04640546704741e+00,-8.64976732564480e+00,-1.12359613381128e+02
1.04664643855218e+00,-8.64802533950586e+00,-1.12363969741474e+02
1.04688746554908e+00,-8.64628345650905e+00,-1.12368326928218e+02
1.04712854805088e+00,-8.64454167668988e+00,-1.12372684941380e+02
1.04736968607038e+00,-8.64280000008345e+00,-1.12377043780984e+02
1.04761087962034e+00,-8.64105842672562e+00,-1.12381403447047e+02
1.04785212871357e+00,-8.63931695665164e+00,-1.12385763939591e+02
1.04809343336286e+00,-8.63757558989716e+00,-1.12390125258637e+02
1.04833479358098e+00,-8.63583432649762e+00,-1.12394487404206e+02
1.04857620938076e+00,-8.63409316648826e+00,-1.12398850376316e+02
1.04881768077497e+00,-8.63235210990505e+00,-1.12403214174991e+02
1.04905920777643e+00,-8.63061115678326e+00,-1.12407578800248e+02
1.04930079039794e+00,-8.62887030715842e+00,-1.12411944252109e+02
1.04954242865230e+00,-8.62712956106614e+00,-1.12416310530593e+02
1.04978412255234e+00,-8.62538891854199e+00,-1.12420677635722e+02
1.05002587211087e+00,-8.62364837962122e+00,-1.12425045567514e+02
1.05026767734069e+00,-8.62190794433971e+00,-1.12429414325991e+02
