Frequency,Magnitude,Phase,
1.1112,-8.1987,-113.5247,
1.1115,-8.1970,-113.5293,
1.1117,-8.1953,-113.5339,
1.1120,-8.1936,-113.5384,
1.1122,-8.1919,-113.5430,
1.1125,-8.1901,-113.5476,
1.1128,-8.1884,-113.5522,
1.1130,-8.1867,-113.5567,
1.1133,-8.1850,-113.5613,
1.1135,-8.1833,-113.5659,
1.1138,-8.1816,-113.5705,
1.1140,-8.1799,-113.5751,
1.1143,-8.1782,-113.5796,
1.1146,-8.1764,-113.5842,
1.1148,-8.1747,-113.5888,
1.1151,-8.1730,-113.5934,
1.1153,-8.1713,-113.5980,
1.1156,-8.1696,-113.6026,
1.1158,-8.1679,-113.6071,
1.1161,-8.1662,-113.6117,
1.1163,-8.1645,-113.6163,
1.1166,-8.1627,-113.6209,
1.1169,-8.1610,-113.6255,
1.1171,-8.1593,-113.6301,
1.1174,-8.1576,-113.6347,
1.1176,-8.1559,-113.6393,
1.1179,-8.1542,-113.6439,
1.1181,-8.1525,-113.6485,
1.1184,-8.1508,-113.6531,
1.1187,-8.1491,-113.6577,
1.1189,-8.1473,-113.6622,
1.1192,-8.1456,-113.6668,
1.1194,-8.1439,-113.6714,
1.1197,-8.1422,-113.6760,
1.1200,-8.1405,-113.6806,
1.1202,-8.1388,-113.6852,
1.1205,-8.1371,-113.6898,
1.1207,-8.1354,-113.6944,
1.1210,-8.1337,-113.6991,
1.1212,-8.1320,-113.7037,
1.1215,-8.1302,-113.7083,
1.1218,-8.1285,-113.7129,
1.1220,-8.1268,-113.7175,
1.1223,-8.1251,-113.7221,
1.1225,-8.1234,-113.7267,
1.1228,-8.1217,-113.7313,
1.1231,-8.1200,-113.7359,
1.1233,-8.1183,-113.7405,
1.1236,-8.1166,-113.7451,
1.1238,-8.1149,-113.7497,
1.1241,-8.1132,-113.7544,
1.1243,-8.1115,-113.7590,
1.1246,-8.1097,-113.7636,
1.1249,-8.1080,-113.7682,
1.1251,-8.1063,-113.7728,
1.1254,-8.1046,-113.7774,
1.1256,-8.1029,-113.7821,
1.1259,-8.1012,-113.7867,
1.1262,-8.0995,-113.7913,
1.1264,-8.0978,-113.7959,
1.1267,-8.0961,-113.8005,
1.1269,-8.0944,-113.8052,
1.1272,-8.0927,-113.8098,
1.1275,-8.0910,-113.8144,
1.1277,-8.0893,-113.8190,
1.1280,-8.0875,-113.8237,
1.1282,-8.0858,-113.8283,
1.1285,-8.0841,-113.8329,
1.1288,-8.0824,-113.8375,
1.1290,-8.0807,-113.8422,
1.1293,-8.0790,-113.8468,
1.1295,-8.0773,-113.8514,
1.1298,-8.0756,-113.8561,
1.1301,-8.0739,-113.8607,
1.1303,-8.0722,-113.8653,
1.1306,-8.0705,-113.8700,
1.1308,-8.0688,-113.8746,
1.1311,-8.0671,-113.8792,
1.1314,-8.0654,-113.8839,
1.1316,-8.0637,-113.8885,
1.1319,-8.0620,-113.8931,
1.1321,-8.0603,-113.8978,
1.1324,-8.0586,-113.9024,
1.1327,-8.0569,-113.9071,
1.1329,-8.0551,-113.9117,
1.1332,-8.0534,-113.9163,
1.1334,-8.0517,-113.9210,
1.1337,-8.0500,-113.9256,
1.1340,-8.0483,-113.9303,
