Frequency (Hz),Trace 1: Impedance: Real (Ω),Trace 1: Impedance: Imaginary (Ω),Trace 1: Impedance: Cs (F),Trace 2: Impedance: Real (Ω),Trace 2: Impedance: Imaginary (Ω),Trace 2: Impedance: Phase (°)
229.971953,65771.9453586503,-781548.947948223,8.85501039642914E-10,65771.9453586503,-781548.947948223,-85.1895576487575
234.383723,65391.0042268958,-763417.901183418,8.8946803189602E-10,65391.0042268958,-763417.901183418,-85.1042465373516
238.880128,75322.4772813574,-750037.023104239,8.88295387679279E-10,75322.4772813574,-750037.023104239,-84.2652975696949
243.462792,66034.3257307757,-734179.506397855,8.90400255382009E-10,66034.3257307757,-734179.506397855,-84.8604736537165
248.13337,72042.9037740531,-720569.540300638,8.90141518075835E-10,72042.9037740531,-720569.540300638,-84.2905130033596
252.893547,65934.4185544196,-713269.866958598,8.82324841626769E-10,65934.4185544196,-713269.866958598,-84.7186072567697
257.745044,62588.2994870277,-698010.227457327,8.84642952930233E-10,62588.2994870277,-698010.227457327,-84.8761771452631
262.689611,63956.6130934736,-686787.373083478,8.82175378368915E-10,63956.6130934736,-686787.373083478,-84.6797130144499
267.729035,63221.5268770944,-676578.911049389,8.78630353108747E-10,63221.5268770944,-676578.911049389,-84.661615055567
272.865135,63662.1314920171,-660740.128083679,8.82757468709777E-10,63662.1314920171,-660740.128083679,-84.4965552726747
278.099766,62406.664698533,-650756.627808882,8.79429253969106E-10,62406.664698533,-650756.627808882,-84.5221650271827
283.434817,57964.0334731002,-638488.06654882,8.7945606703825E-10,57964.0334731002,-638488.06654882,-84.8127211849001
288.872216,55704.5635201385,-626336.05494753,8.79644002779346E-10,55704.5635201385,-626336.05494753,-84.9176468689105
294.413926,54944.2981588723,-616690.924108694,8.76585386151555E-10,54944.2981588723,-616690.924108694,-84.9086553286355
300.061947,54135.467298946,-604346.378137687,8.77653895892743E-10,54135.467298946,-604346.378137687,-84.8812841439708
305.81832,56117.6064145888,-594139.091080984,8.75928194982964E-10,56117.6064145888,-594139.091080984,-84.6043081754917
311.685123,55551.3667087278,-580784.463835418,8.7920281066661E-10,55551.3667087278,-580784.463835418,-84.5363458432986
317.664474,49936.4642740021,-576340.937850252,8.69304673651496E-10,49936.4642740021,-576340.937850252,-85.048033515044
323.758533,50184.3691683125,-563011.635234699,8.73135282578685E-10,50184.3691683125,-563011.635234699,-84.9063688372658
329.969499,51902.5462758756,-553152.678294528,8.71969541002733E-10,51902.5462758756,-553152.678294528,-84.6396075996855
336.299617,43953.6717042347,-543903.991354246,8.70104697059948E-10,43953.6717042347,-543903.991354246,-85.3798845730719
342.751172,47911.8465971079,-535292.228409476,8.67461572145312E-10,47911.8465971079,-535292.228409476,-84.8853154531671
349.326492,50511.3905047246,-525076.337017223,8.67693136365816E-10,50511.3905047246,-525076.337017223,-84.505158308391
356.027954,47983.6667346557,-515490.352531644,8.67192456352937E-10,47983.6667346557,-515490.352531644,-84.6820299647445
362.857975,43837.6764339366,-505347.384480701,8.67947460479703E-10,43837.6764339366,-505347.384480701,-85.042139573875
369.819024,46653.089023939,-496696.505408467,8.66442564441143E-10,46653.089023939,-496696.505408467,-84.6341362636058
376.913613,46064.7107998908,-489448.511121228,8.62722841785672E-10,46064.7107998908,-489448.511121228,-84.6234142522132
384.144304,43889.495815469,-481312.928621653,8.60791968464735E-10,43889.495815469,-481312.928621653,-84.7897773585015
391.513708,44683.7195533754,-470203.421714483,8.64544543058407E-10,44683.7195533754,-470203.421714483,-84.5714491804697
399.024487,40476.6448332134,-460253.520416739,8.66609538103763E-10,40476.6448332134,-460253.520416739,-84.9740968473972
406.679352,40120.9304788986,-453789.921772671,8.62408766159444E-10,40120.9304788986,-453789.921772671,-84.947445682481
414.481068,39142.5495929717,-444873.677138326,8.63134992352262E-10,39142.5495929717,-444873.677138326,-84.9717359128437
422.432451,38685.0604740488,-438300.579032396,8.59588930600356E-10,38685.0604740488,-438300.579032396,-84.9560598361942
430.536373,38644.8174998049,-428789.534417841,8.6211679741556E-10,38644.8174998049,-428789.534417841,-84.8501097934034
438.79576,38781.9297719521,-423463.482492625,8.5652835459451E-10,38781.9297719521,-423463.482492625,-84.7672947237399
447.213595,38454.5642596197,-414211.144728371,8.59178408489757E-10,38454.5642596197,-414211.144728371,-84.6959737093086
455.792918,37002.4915278256,-410045.365888489,8.5157058305702E-10,37002.4915278256,-410045.365888489,-84.8435955529848
464.536826,38659.3696492575,-399033.375639506,8.58599757082489E-10,38659.3696492575,-399033.375639506,-84.4663093357735
473.448476,37561.7649946573,-394559.760301764,8.51990235914629E-10,37561.7649946573,-394559.760301764,-84.5618777070728
482.531087,35442.5026942621,-386391.012755795,8.53626359298501E-10,35442.5026942621,-386391.012755795,-84.7590938137356
491.787938,36617.3115246285,-380418.41975599,8.50708401328127E-10,36617.3115246285,-380418.41975599,-84.501912528776
501.222372,32973.8328575764,-373201.716912439,8.50836379995026E-10,32973.8328575764,-373201.716912439,-84.9508050172021
510.837796,33709.1903722248,-366806.339155122,8.49376569580188E-10,33709.1903722248,-366806.339155122,-84.7493149573584
520.637682,35275.7609988087,-358801.824461603,8.51980963831294E-10,35275.7609988087,-358801.824461603,-84.3849849905904
530.625568,32605.767881889,-353970.167610705,8.47354807284661E-10,32605.767881889,-353970.167610705,-84.7370825689199
540.805062,32011.940007866,-345716.309710638,8.51254684925246E-10,32011.940007866,-345716.309710638,-84.7097264411641
551.179838,32276.5788186581,-341402.663740265,8.45784853642374E-10,32276.5788186581,-341402.663740265,-84.5992472440954
561.753643,31408.6736419383,-333824.776535734,8.4870286289179E-10,31408.6736419383,-333824.776535734,-84.6250177715016
572.530296,29332.9521250576,-329009.929150428,8.44914287780477E-10,29332.9521250576,-329009.929150428,-84.9052525569527
583.513687,30517.3013160142,-321668.385649437,8.47931374071288E-10,30517.3013160142,-321668.385649437,-84.5804596953013
594.707784,30440.9462537029,-316563.600296796,8.45386935816288E-10,30440.9462537029,-316563.600296796,-84.5072919295499
606.116627,28345.2625711359,-310879.214039435,8.44641174614535E-10,28345.2625711359,-310879.214039435,-84.7903054594461
617.744337,28574.9081832821,-305342.455297373,8.43770165591417E-10,28574.9081832821,-305342.455297373,-84.6536517290403
629.595112,29209.7990003214,-299766.137832642,8.43288565304183E-10,29209.7990003214,-299766.137832642,-84.4345572642407
641.673232,27201.3704713087,-293247.008051281,8.45809617689683E-10,27201.3704713087,-293247.008051281,-84.7004517419905
653.983058,28003.1144304164,-289123.120929023,8.41726132691508E-10,28003.1144304164,-289123.120929023,-84.4678544093243
666.529035,26755.0998840691,-284862.991158503,8.38233529578309E-10,26755.0998840691,-284862.991158503,-84.63436661771
679.315693,25656.0641587125,-278937.460531226,8.39927192085137E-10,25656.0641587125,-278937.460531226,-84.7448442739734
692.34765,25083.4405237016,-273806.53607877,8.39560694572964E-10,25083.4405237016,-273806.53607877,-84.7657387269213
705.629612,26798.7357419716,-269180.925161227,8.3791323911291E-10,26798.7357419716,-269180.925161227,-84.3145617910799
719.166373,24815.6950548709,-264226.960014675,8.37555570008442E-10,24815.6950548709,-264226.960014675,-84.6346273842083
732.962824,24437.1862472355,-259660.152086882,8.36243734374896E-10,24437.1862472355,-259660.152086882,-84.6236043447998
747.023944,24466.2659146731,-255517.94422009,8.33804442468998E-10,24466.2659146731,-255517.94422009,-84.5305090987584
761.354813,23581.2997362894,-250079.369249208,8.35901623675314E-10,23581.2997362894,-250079.369249208,-84.6132074857948
775.960604,23029.0257502407,-246556.010539383,8.31888010276936E-10,23029.0257502407,-246556.010539383,-84.6638944453941
790.846592,22854.8428208527,-241992.915661756,8.31620587209087E-10,22854.8428208527,-241992.915661756,-84.6047456772198
806.018152,22528.3909439543,-237186.312718221,8.32502766758226E-10,22528.3909439543,-237186.312718221,-84.5742190378336
821.480762,22484.5296293046,-232614.934397061,8.32885191300053E-10,22484.5296293046,-232614.934397061,-84.4789493249365
837.240007,21599.4226672863,-228766.173645872,8.30956617499898E-10,21599.4226672863,-228766.173645872,-84.6062922842534
853.301575,20448.4807826659,-225013.368001911,8.2891359808522E-10,20448.4807826659,-225013.368001911,-84.8074096158427
