Frequency (Hz),Trace 1: Impedance: Real (Ω),Trace 1: Impedance: Imaginary (Ω),Trace 1: Impedance: Rs (Ω),Trace 2: Impedance: Real (Ω),Trace 2: Impedance: Imaginary (Ω),Trace 2: Impedance: Phase (°)
217.228673,59469.9833541617,-787063.088036719,59469.9833541617,59469.9833541617,-787063.088036719,-85.6789782934525
221.395976,53616.1912728126,-781835.733715135,53616.1912728126,53616.1912728126,-781835.733715135,-86.0769517207894
225.643225,53777.4431858099,-767253.970935618,53777.4431858099,53777.4431858099,-767253.970935618,-85.9906501100326
229.971953,56904.5834399013,-753790.536750681,56904.5834399013,56904.5834399013,-753790.536750681,-85.682859070937
234.383723,49803.9296588893,-736991.455187997,49803.9296588893,49803.9296588893,-736991.455187997,-86.1339808744582
238.880128,50526.7581302195,-721666.808613701,50526.7581302195,50526.7581302195,-721666.808613701,-85.995030553457
243.462792,51589.6938688366,-712517.661485268,51589.6938688366,51589.6938688366,-712517.661485268,-85.8587376414394
248.13337,45888.6135998878,-700783.196867745,45888.6135998878,45888.6135998878,-700783.196867745,-86.2535123471804
252.893547,48169.3327152817,-687181.627680002,48169.3327152817,48169.3327152817,-687181.627680002,-85.9902996455699
257.745044,47529.3295555257,-671360.91175256,47529.3295555257,47529.3295555257,-671360.91175256,-85.9504731954617
262.689611,41136.1095305029,-665718.823003412,41136.1095305029,41136.1095305029,-665718.823003412,-86.4640739387505
267.729035,45112.1056452313,-651860.176523316,45112.1056452313,45112.1056452313,-651860.176523316,-86.0411469140516
272.865135,41234.1555926855,-638153.779599166,41234.1555926855,41234.1555926855,-638153.779599166,-86.3029861315285
278.099766,45282.3809954971,-626597.979915071,45282.3809954971,45282.3809954971,-626597.979915071,-85.8665892558073
283.434817,41366.3508842082,-615297.426314071,41366.3508842082,41366.3508842082,-615297.426314071,-86.1538013794907
288.872216,41476.4358897554,-608042.3030889,41476.4358897554,41476.4358897554,-608042.3030889,-86.0977236020384
294.413926,42932.7765860504,-591212.808147414,42932.7765860504,42932.7765860504,-591212.808147414,-85.8465774973455
300.061947,41974.4071101097,-586122.248101132,41974.4071101097,41974.4071101097,-586122.248101132,-85.9038277557426
305.81832,37213.0743537134,-572173.345348734,37213.0743537134,37213.0743537134,-572173.345348734,-86.2788315391087
311.685123,34243.0461479874,-563645.519862425,34243.0461479874,34243.0461479874,-563645.519862425,-86.5233937718839
317.664474,38453.2361161235,-553358.663491538,38453.2361161235,38453.2361161235,-553358.663491538,-86.0248711514938
323.758533,38930.9373895606,-542974.792260716,38930.9373895606,38930.9373895606,-542974.792260716,-85.8989480413115
329.969499,33667.8463065989,-534726.914142061,33667.8463065989,33667.8463065989,-534726.914142061,-86.397259208823
336.299617,36040.8611880134,-524873.694254464,36040.8611880134,36040.8611880134,-524873.694254464,-86.0719065521477
342.751172,38084.9464912174,-513432.184841446,38084.9464912174,38084.9464912174,-513432.184841446,-85.7577305149455
349.326492,35136.6081586232,-504670.219765425,35136.6081586232,35136.6081586232,-504670.219765425,-86.0173280648888
356.027954,34843.3441527792,-495466.921806637,34843.3441527792,34843.3441527792,-495466.921806637,-85.9773393949085
362.857975,33998.9441542234,-487668.364183335,33998.9441542234,33998.9441542234,-487668.364183335,-86.0119432806779
369.819024,33441.0858280664,-479142.232569138,33441.0858280664,33441.0858280664,-479142.232569138,-86.0075924970072
376.913613,34971.5972564398,-469858.848959036,34971.5972564398,34971.5972564398,-469858.848959036,-85.7433235862432
384.144304,33749.3609606783,-462300.533174523,33749.3609606783,33749.3609606783,-462300.533174523,-85.8246387994927
391.513708,35061.7572871002,-454808.042032628,35061.7572871002,35061.7572871002,-454808.042032628,-85.591711230092
399.024487,31812.5160276594,-446348.480245491,31812.5160276594,31812.5160276594,-446348.480245491,-85.9232617734346
406.679352,32790.1507163696,-437889.656681509,32790.1507163696,32790.1507163696,-437889.656681509,-85.7175571358629
414.481068,30537.4913398224,-429581.924649879,30537.4913398224,30537.4913398224,-429581.924649879,-85.9338813500908
422.432451,29391.9759047439,-423328.909026246,29391.9759047439,29391.9759047439,-423328.909026246,-86.0282940531935
430.536373,29447.0703120249,-414187.023149453,29447.0703120249,29447.0703120249,-414187.023149453,-85.9333377912918
